Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative
ʔ,0.01932517243522028,847,0.3890675241157556,10,0.004593477262287551
æ,0.019039373108743943,171,0.07854846118511713,3,0.0013780431786862655
ʝ,0.01865307171621969,55,0.025264124942581533,1,0.00045934772622875517
ŋɡʷ,0.01865307171621969,55,0.025264124942581533,1,0.00045934772622875517
qʰ,0.01865307171621969,55,0.025264124942581533,1,0.00045934772622875517
pʲ,0.018015557762330353,57,0.026182820395039046,1,0.00045934772622875517
hʷ,0.018015557762330353,57,0.026182820395039046,1,0.00045934772622875517
pʼ,0.017920497855631743,118,0.05420303169499311,2,0.0009186954524575103
n̠d̠ʒ,0.01723387243609534,123,0.056499770326136886,2,0.0009186954524575103
qʼ,0.01713903322311447,60,0.02756086357372531,1,0.00045934772622875517
c,0.01698323987480614,351,0.16123105190629305,5,0.0022967386311437757
ɬ,0.016974658869395712,125,0.0574184657785944,2,0.0009186954524575103
l̥,0.016601845496835202,62,0.02847955902618282,1,0.00045934772622875517
ʑ,0.01634605276989383,63,0.028938906752411574,1,0.00045934772622875517
ɽ,0.015267550319096712,140,0.06430868167202572,2,0.0009186954524575103
oː,0.015179511494453237,519,0.23840146991272393,6,0.002756086357372531
ʂ,0.014872656719680822,144,0.06614607257694075,2,0.0009186954524575103
ʐ,0.014559340850420663,71,0.032613688562241616,1,0.00045934772622875517
au,0.014173915308088963,73,0.03353238401469913,1,0.00045934772622875517
cʰ,0.013463203463203462,77,0.03536977491961415,1,0.00045934772622875517
ɛ,0.013443843568321966,862,0.39595774000918693,7,0.003215434083601286
ɲ,0.013005644683636563,974,0.44740468534680755,7,0.003215434083601286
pʰ,0.01275224789854436,380,0.17455213596692695,4,0.0018373909049150207
ɔː,0.012684262658043465,270,0.1240238860817639,3,0.0013780431786862655
ə,0.012406509513746888,534,0.24529168580615526,5,0.0022967386311437757
ʈʰ,0.012242717354628277,85,0.03904455672944419,1,0.00045934772622875517
u,0.011873077510416889,1993,0.915480018373909,2,0.0009186954524575103
ɑ,0.01181482687506784,185,0.08497932935231971,2,0.0009186954524575103
ɔ,0.011721715595391717,823,0.3780431786862655,6,0.002756086357372531
ɹ̺,0.011590267795346856,90,0.04134129536058796,1,0.00045934772622875517
ɕ,0.011468397374437644,91,0.04180064308681672,1,0.00045934772622875517
ɟ,0.011223963703856464,312,0.14331649058337162,3,0.0013780431786862655
d̪,0.010741917656811274,329,0.15112540192926044,3,0.0013780431786862655
əː,0.010382685667410673,101,0.04639412034910427,1,0.00045934772622875517
ʁ,0.01019089794122328,103,0.04731281580156178,1,0.00045934772622875517
eː,0.00998862113898728,529,0.2429949471750115,4,0.0018373909049150207
t̪,0.009696327243249984,553,0.2540192926045016,4,0.0018373909049150207
kʰ,0.009315202136035327,393,0.18052365640790077,3,0.0013780431786862655
cç,0.009256660798870662,114,0.05236564079007809,1,0.00045934772622875517
ʌ,0.009180618226289376,115,0.05282498851630684,1,0.00045934772622875517
ç,0.00868333931634159,122,0.05604042259990813,1,0.00045934772622875517
t̠ʃʼ,0.008424074976976,126,0.05787781350482315,1,0.00045934772622875517
ɛː,0.008324251983557976,275,0.12632062471290767,2,0.0009186954524575103
ɭ,0.007887509691818295,293,0.13458888378502526,2,0.0009186954524575103
tʰ,0.0077106163534487035,301,0.1382636655948553,2,0.0009186954524575103
kp,0.007543155720948282,309,0.14193844740468534,2,0.0009186954524575103
ɳ,0.007365155405794013,318,0.14607257694074413,2,0.0009186954524575103
n,0.0071257196911424375,1846,0.847955902618282,2,0.0009186954524575103
