Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative,ID,Name,Description,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
xʲ,0.08379522709776752,12,0.005512172714745062,1,0.00045934772622875517,CFDC3D2764B7C450CAB7DFC1854E8C75,xʲ,LATIN SMALL LETTER X - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
ħ,0.08300922748417601,62,0.02847955902618282,5,0.0022967386311437757,C699D862DAE3202097065A59720E60BC,ħ,LATIN SMALL LETTER H WITH STROKE,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,+,0,0,0,-,-,-,-,-,-,-,-
b,0.08137056485431937,1385,0.6361966008268259,41,0.018833256775378962,694212B746622E482E0E58D50036100E,b,LATIN SMALL LETTER B,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
z,0.08113653527398268,682,0.31327514928801103,38,0.017455213596692696,E77FDA2EAABA78B3E55A968B2257CF26,z,LATIN SMALL LETTER Z,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ʒ,0.07838291660256684,331,0.15204409738171795,22,0.010105649977032614,DAC6AC8BCA2D24EFF188A7129D280801,ʒ,LATIN SMALL LETTER EZH,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ð,0.07815005384707431,122,0.05604042259990813,9,0.004134129536058797,C74BECEC6C9DBC95D2C92E893F72A8AD,ð,LATIN SMALL LETTER ETH,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
z̻,0.07738518413194938,13,0.0059715204409738175,1,0.00045934772622875517,92B41E9C14B6FD2564CABDE05D20ED97,z̻,LATIN SMALL LETTER Z - COMBINING SQUARE BELOW,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɑ̃ː,0.07738518413194938,13,0.0059715204409738175,1,0.00045934772622875517,84FD9198ADD53CB38EF1B7A66DC0DB74,ɑ̃ː,LATIN SMALL LETTER ALPHA - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,-,+,0,-,-,+,-,-,-,0,-,-,0
pʲʰ,0.07738518413194938,13,0.0059715204409738175,1,0.00045934772622875517,3B4E2188086496B9803EA76F0ADDBC08,pʲʰ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL J - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-
sʼ,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517,825B20CB261AC2AAD034C4B8C3BC5DFC,sʼ,LATIN SMALL LETTER S - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
