Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative
ɣʷ,0.05046360686138155,20,0.009186954524575103,1,0.00045934772622875517
ɾ,0.04985686476583076,615,0.28249885163068444,22,0.010105649977032614
zː,0.04808286951144094,21,0.00964630225080386,1,0.00045934772622875517
j,0.047492310041667554,1993,0.915480018373909,8,0.0036747818098300414
s,0.0440231096048031,1531,0.7032613688562241,20,0.009186954524575103
ɣ,0.043183734192908496,327,0.15020670647680295,12,0.005512172714745062
ts,0.040478697318541965,519,0.23840146991272393,16,0.007349563619660083
e,0.040158642316915696,1482,0.6807533302710151,19,0.008727606798346348
ɖ̤,0.037502153316106804,27,0.01240238860817639,1,0.00045934772622875517
θ,0.03714763497372193,84,0.03858520900321544,3,0.0013780431786862655
xʷ,0.03542660005532864,58,0.0266421681212678,2,0.0009186954524575103
dz,0.03185462967608154,248,0.11391823610473129,7,0.003215434083601286
m,0.031716200466200446,2112,0.9701423977951309,2,0.0009186954524575103
k,0.031396744084086166,2004,0.9205328433624254,5,0.0022967386311437757
ɖʐ,0.030769448213478063,33,0.01515847496554892,1,0.00045934772622875517
t̪ʼ,0.030769448213478063,33,0.01515847496554892,1,0.00045934772622875517
ɲː,0.030769448213478063,33,0.01515847496554892,1,0.00045934772622875517
tʲ,0.028347830616177926,73,0.03353238401469913,2,0.0009186954524575103
w,0.02752699592848292,1883,0.864951768488746,7,0.003215434083601286
ʈʂʰ,0.027494316746653195,37,0.016995865870463943,1,0.00045934772622875517
mp,0.027494316746653195,37,0.016995865870463943,1,0.00045934772622875517
ʈʂ,0.026926406926406923,77,0.03536977491961415,2,0.0009186954524575103
fː,0.026783297655077386,38,0.017455213596692696,1,0.00045934772622875517
sʷ,0.026783297655077386,38,0.017455213596692696,1,0.00045934772622875517
ɔ̃ː,0.026108752488546688,39,0.017914561322921452,1,0.00045934772622875517
sʲ,0.025467945718296678,40,0.018373909049150206,1,0.00045934772622875517
y,0.024901628843338214,128,0.05879650895728066,3,0.0013780431786862655
b̤,0.024858408696446517,41,0.018833256775378962,1,0.00045934772622875517
ɘ,0.024858408696446517,41,0.018833256775378962,1,0.00045934772622875517
ŋ,0.024363221272214516,1424,0.6541111621497474,12,0.005512172714745062
ai,0.0239454435461695,87,0.0399632521819017,2,0.0009186954524575103
χʷ,0.02372441751487544,43,0.01975195222783647,1,0.00045934772622875517
ɮ,0.02372441751487544,43,0.01975195222783647,1,0.00045934772622875517
ɒ,0.022691265374192207,45,0.02067064768029398,1,0.00045934772622875517
ɛ̃ː,0.022691265374192207,45,0.02067064768029398,1,0.00045934772622875517
tɕ,0.02201324637241519,95,0.04363803399173174,2,0.0009186954524575103
β,0.02191190147394527,259,0.1189710610932476,5,0.0022967386311437757
pʷ,0.021303037419758888,48,0.022048690858980247,1,0.00045934772622875517
ɡʱ,0.021303037419758888,48,0.022048690858980247,1,0.00045934772622875517
t,0.02018600424675698,1656,0.7606798346348186,8,0.0036747818098300414
ʔ,0.019333478978282914,846,0.3886081763895269,10,0.004593477262287551
æ,0.01914182713444122,170,0.07808911345888837,3,0.0013780431786862655
ʝ,0.018989550077632977,54,0.02480477721635278,1,0.00045934772622875517
ŋɡʷ,0.018989550077632977,54,0.02480477721635278,1,0.00045934772622875517
qʰ,0.018989550077632977,54,0.02480477721635278,1,0.00045934772622875517
